NodeGraphfalse,
QNumT:0 Input Value:DC,
Time Elapsed,03:35.3
QNumT:1 Input Value:Avengers 2012,
Time Elapsed,07:03.0
QNumT:2 Input Value:From Hell 2001,
Time Elapsed,10:08.9
QNumT:3 Input Value:Men In Black 2 2002,
Time Elapsed,11:42.0
QNumT:4 Input Value:The Dark Knight 2008Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Batman Begins 2005,
Time Elapsed,16:25.5
QNumS:0 Input Value:6,
Time Elapsed,00:12.7
QNumS:1 Input Value:6,
Time Elapsed,00:19.0
QNumS:2 Input Value:5,
Time Elapsed,00:26.2
QNumS:3 Input Value:6,
Time Elapsed,00:30.5
QNumS:4 Input Value:1,
Time Elapsed,00:44.4
QNumS:5 Input Value:6,
Time Elapsed,00:49.1
QNumS:6 Input Value:6,
Time Elapsed,00:53.1
QNumS:7 Input Value:5,
Time Elapsed,01:03.2
QNumS:8 Input Value:6,
Time Elapsed,01:16.5
QNumS:9 Input Value:6,
Time Elapsed,01:24.6
QNumS:9 Input Value:6,
Time Elapsed,01:24.6
7/25/2017 15:11,7/25/2017 15:13
PARTICIPANT7,
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:20.2
QNumT:1 Input Value:X-Men: Days of Future Past 2014,
Time Elapsed,02:13.6
QNumT:2 Input Value:Fantastic Four 2015From Hell 2001League of Extraordinary Gentlemen 2003,
Time Elapsed,04:30.7
QNumT:3 Input Value:Captain America: the First Avenger 2011,
Time Elapsed,06:37.4
QNumT:4 Input Value:Scott Pilgrim vs the World 2010The Dark Knight 2008The Dark Knight Rises 2012,
Time Elapsed,10:13.5
QNumS:0 Input Value:3,
Time Elapsed,00:11.6
QNumS:1 Input Value:4,
Time Elapsed,00:18.6
QNumS:2 Input Value:3,
Time Elapsed,00:24.5
QNumS:3 Input Value:5,
Time Elapsed,00:29.3
QNumS:4 Input Value:2,
Time Elapsed,00:36.2
QNumS:5 Input Value:5,
Time Elapsed,00:40.6
QNumS:6 Input Value:4,
Time Elapsed,00:45.6
QNumS:7 Input Value:4,
Time Elapsed,00:53.0
QNumS:8 Input Value:5,
Time Elapsed,01:01.3
QNumS:9 Input Value:3,
Time Elapsed,01:09.9
QNumS:9 Input Value:3,
Time Elapsed,01:09.9
7/26/2017 10:27,7/26/2017 10:28
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:09.4
QNumT:1 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,02:08.7
QNumT:2 Input Value:Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003)Movie: Mystery Men (1999),
Time Elapsed,04:01.7
QNumT:3 Input Value:Movie: Sin City 2 (2013),
Time Elapsed,05:34.3
QNumT:4 Input Value:Movie: Scott Pilgrim vs the World (2010)Movie: The Dark Knight (2008)Movie: Kingsman: The Secret Service (2015)Movie: Iron Man 2 (2010),
Time Elapsed,07:16.3
QNumS:0 Input Value:3,
Time Elapsed,00:07.0
QNumS:1 Input Value:4,
Time Elapsed,00:13.2
QNumS:2 Input Value:5,
Time Elapsed,00:18.8
QNumS:3 Input Value:5,
